title,sales/watches/total_watches,posting_date
미키 17,"['3,228,091,620', '323,576', '2,604,846']",2025-03-17 00:00:00
극장판 진격의 거인 완결편 더 라스트 어택,"['1,603,917,300', '162,084', '201,595']",2025-03-17 00:00:00
콘클라베,"['426,048,940', '43,116', '144,151']",2025-03-17 00:00:00
퇴마록,"['354,302,220', '36,064', '440,016']",2025-03-17 00:00:00
침범,"['315,809,500', '33,486', '55,568']",2025-03-17 00:00:00
위플래쉬,"['316,807,180', '31,037', '1,695,263']",2025-03-17 00:00:00
노보케인,"['115,516,700', '12,222', '24,010']",2025-03-17 00:00:00
200% 울프: 최강 푸들이 될 거야!,"['83,853,800', '10,731', '12,153']",2025-03-17 00:00:00
캡틴 아메리카: 브레이브 뉴 월드,"['92,286,220', '9,430', '1,650,584']",2025-03-17 00:00:00
에밀리아 페레즈,"['75,762,400', '9,262', '20,603']",2025-03-17 00:00:00
미키 17,"['3,228,074,620', '323,574', '2,604,844']",2025-03-17
극장판 진격의 거인 완결편 더 라스트 어택,"['1,603,917,300', '162,084', '201,595']",2025-03-17
콘클라베,"['426,048,940', '43,116', '144,151']",2025-03-17
퇴마록,"['354,302,220', '36,064', '440,016']",2025-03-17
침범,"['315,799,500', '33,486', '55,568']",2025-03-17
위플래쉬,"['316,789,180', '31,037', '1,695,263']",2025-03-17
노보케인,"['115,516,700', '12,222', '24,010']",2025-03-17
200% 울프: 최강 푸들이 될 거야!,"['83,853,800', '10,731', '12,153']",2025-03-17
캡틴 아메리카: 브레이브 뉴 월드,"['92,286,220', '9,430', '1,650,584']",2025-03-17
에밀리아 페레즈,"['75,762,400', '9,262', '20,603']",2025-03-17
미키 17,"['3,228,074,620', '323,574', '2,604,844']",2025-03-17
극장판 진격의 거인 완결편 더 라스트 어택,"['1,603,917,300', '162,084', '201,595']",2025-03-17
콘클라베,"['426,048,940', '43,116', '144,151']",2025-03-17
퇴마록,"['354,302,220', '36,064', '440,016']",2025-03-17
침범,"['315,799,500', '33,486', '55,568']",2025-03-17
위플래쉬,"['316,789,180', '31,037', '1,695,263']",2025-03-17
노보케인,"['115,516,700', '12,222', '24,010']",2025-03-17
200% 울프: 최강 푸들이 될 거야!,"['83,853,800', '10,731', '12,153']",2025-03-17
캡틴 아메리카: 브레이브 뉴 월드,"['92,286,220', '9,430', '1,650,584']",2025-03-17
에밀리아 페레즈,"['75,762,400', '9,262', '20,603']",2025-03-17
미키 17,"['3,228,074,620', '323,574', '2,604,844']",2025-03-17
극장판 진격의 거인 완결편 더 라스트 어택,"['1,603,917,300', '162,084', '201,595']",2025-03-17
콘클라베,"['426,048,940', '43,116', '144,151']",2025-03-17
퇴마록,"['354,302,220', '36,064', '440,016']",2025-03-17
침범,"['315,799,500', '33,486', '55,568']",2025-03-17
위플래쉬,"['316,789,180', '31,037', '1,695,263']",2025-03-17
노보케인,"['115,516,700', '12,222', '24,010']",2025-03-17
200% 울프: 최강 푸들이 될 거야!,"['83,853,800', '10,731', '12,153']",2025-03-17
캡틴 아메리카: 브레이브 뉴 월드,"['92,286,220', '9,430', '1,650,584']",2025-03-17
에밀리아 페레즈,"['75,762,400', '9,262', '20,603']",2025-03-17
미키 17,"['3,228,074,620', '323,574', '2,604,844']",2025-03-17
극장판 진격의 거인 완결편 더 라스트 어택,"['1,603,917,300', '162,084', '201,595']",2025-03-17
콘클라베,"['426,048,940', '43,116', '144,151']",2025-03-17
퇴마록,"['354,302,220', '36,064', '440,016']",2025-03-17
침범,"['315,799,500', '33,486', '55,568']",2025-03-17
위플래쉬,"['316,789,180', '31,037', '1,695,263']",2025-03-17
노보케인,"['115,516,700', '12,222', '24,010']",2025-03-17
200% 울프: 최강 푸들이 될 거야!,"['83,853,800', '10,731', '12,153']",2025-03-17
캡틴 아메리카: 브레이브 뉴 월드,"['92,286,220', '9,430', '1,650,584']",2025-03-17
에밀리아 페레즈,"['75,762,400', '9,262', '20,603']",2025-03-17
미키 17,"['3,228,074,620', '323,574', '2,604,844']",2025-03-17
극장판 진격의 거인 완결편 더 라스트 어택,"['1,603,917,300', '162,084', '201,595']",2025-03-17
콘클라베,"['426,048,940', '43,116', '144,151']",2025-03-17
퇴마록,"['354,302,220', '36,064', '440,016']",2025-03-17
침범,"['315,799,500', '33,486', '55,568']",2025-03-17
위플래쉬,"['316,789,180', '31,037', '1,695,263']",2025-03-17
노보케인,"['115,516,700', '12,222', '24,010']",2025-03-17
200% 울프: 최강 푸들이 될 거야!,"['83,853,800', '10,731', '12,153']",2025-03-17
캡틴 아메리카: 브레이브 뉴 월드,"['92,286,220', '9,430', '1,650,584']",2025-03-17
에밀리아 페레즈,"['75,762,400', '9,262', '20,603']",2025-03-17
미키 17,"['3,228,074,620', '323,574', '2,604,844']",2025-03-17
극장판 진격의 거인 완결편 더 라스트 어택,"['1,603,917,300', '162,084', '201,595']",2025-03-17
콘클라베,"['426,048,940', '43,116', '144,151']",2025-03-17
퇴마록,"['354,302,220', '36,064', '440,016']",2025-03-17
침범,"['315,799,500', '33,486', '55,568']",2025-03-17
위플래쉬,"['316,789,180', '31,037', '1,695,263']",2025-03-17
노보케인,"['115,516,700', '12,222', '24,010']",2025-03-17
200% 울프: 최강 푸들이 될 거야!,"['83,853,800', '10,731', '12,153']",2025-03-17
캡틴 아메리카: 브레이브 뉴 월드,"['92,286,220', '9,430', '1,650,584']",2025-03-17
에밀리아 페레즈,"['75,762,400', '9,262', '20,603']",2025-03-17
미키 17,"['3,228,074,620', '323,574', '2,604,844']",2025-03-17
극장판 진격의 거인 완결편 더 라스트 어택,"['1,603,917,300', '162,084', '201,595']",2025-03-17
콘클라베,"['426,048,940', '43,116', '144,151']",2025-03-17
퇴마록,"['354,302,220', '36,064', '440,016']",2025-03-17
침범,"['315,799,500', '33,486', '55,568']",2025-03-17
위플래쉬,"['316,789,180', '31,037', '1,695,263']",2025-03-17
노보케인,"['115,516,700', '12,222', '24,010']",2025-03-17
200% 울프: 최강 푸들이 될 거야!,"['83,853,800', '10,731', '12,153']",2025-03-17
캡틴 아메리카: 브레이브 뉴 월드,"['92,286,220', '9,430', '1,650,584']",2025-03-17
에밀리아 페레즈,"['75,762,400', '9,262', '20,603']",2025-03-17
미키 17,"['3,228,074,620', '323,574', '2,604,844']",2025-03-17
극장판 진격의 거인 완결편 더 라스트 어택,"['1,603,917,300', '162,084', '201,595']",2025-03-17
콘클라베,"['426,048,940', '43,116', '144,151']",2025-03-17
퇴마록,"['354,302,220', '36,064', '440,016']",2025-03-17
침범,"['315,799,500', '33,486', '55,568']",2025-03-17
위플래쉬,"['316,789,180', '31,037', '1,695,263']",2025-03-17
노보케인,"['115,516,700', '12,222', '24,010']",2025-03-17
200% 울프: 최강 푸들이 될 거야!,"['83,853,800', '10,731', '12,153']",2025-03-17
캡틴 아메리카: 브레이브 뉴 월드,"['92,286,220', '9,430', '1,650,584']",2025-03-17
에밀리아 페레즈,"['75,762,400', '9,262', '20,603']",2025-03-17
미키 17,"['3,228,074,620', '323,574', '2,604,844']",2025-03-17
극장판 진격의 거인 완결편 더 라스트 어택,"['1,603,917,300', '162,084', '201,595']",2025-03-17
콘클라베,"['426,048,940', '43,116', '144,151']",2025-03-17
퇴마록,"['354,302,220', '36,064', '440,016']",2025-03-17
침범,"['315,799,500', '33,486', '55,568']",2025-03-17
위플래쉬,"['316,789,180', '31,037', '1,695,263']",2025-03-17
노보케인,"['115,516,700', '12,222', '24,010']",2025-03-17
200% 울프: 최강 푸들이 될 거야!,"['83,853,800', '10,731', '12,153']",2025-03-17
캡틴 아메리카: 브레이브 뉴 월드,"['92,286,220', '9,430', '1,650,584']",2025-03-17
에밀리아 페레즈,"['75,762,400', '9,262', '20,603']",2025-03-17
